category,location_type,location,context,outcome_status,persistent_id,id,location_subtype,month
anti-social-behaviour,Force,"{'latitude': '51.513575', 'street': {'id': 1676335, 'name': 'On or near Pollen Street'}, 'longitude': '-0.142373'}",,,,123060208,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.511783', 'street': {'id': 1678199, 'name': 'On or near Nightclub'}, 'longitude': '-0.129778'}",,,,123052832,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.496053', 'street': {'id': 1678355, 'name': ""On or near Bennett's Yard""}, 'longitude': '-0.128521'}",,,,123060424,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.509396', 'street': {'id': 1678091, 'name': 'On or near Orange Street'}, 'longitude': '-0.130626'}",,,,123060609,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.496466', 'street': {'id': 1676405, 'name': 'On or near Shopping Area'}, 'longitude': '-0.141499'}",,,,123085901,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.500978', 'street': {'id': 1678704, 'name': 'On or near Bridge Street'}, 'longitude': '-0.125524'}",,,,123085819,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.502888', 'street': {'id': 1679979, 'name': 'On or near Chicheley Street'}, 'longitude': '-0.117319'}",,,,123085605,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.510295', 'street': {'id': 1677826, 'name': 'On or near Coventry Street'}, 'longitude': '-0.132318'}",,,,123085601,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.518897', 'street': {'id': 1680092, 'name': 'On or near Red Lion Street'}, 'longitude': '-0.116904'}",,,,123060775,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.495129', 'street': {'id': 1676936, 'name': 'On or near Francis Street'}, 'longitude': '-0.138240'}",,,,123097859,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.508087', 'street': {'id': 1678961, 'name': 'On or near Nightclub'}, 'longitude': '-0.124122'}",,,,123060789,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.514537', 'street': {'id': 1678431, 'name': 'On or near St Giles Passage'}, 'longitude': '-0.128196'}",,,,123061019,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.494818', 'street': {'id': 1679973, 'name': 'On or near Pratt Walk'}, 'longitude': '-0.117089'}",,,,123061050,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.510389', 'street': {'id': 1679043, 'name': 'On or near Bedford Street'}, 'longitude': '-0.124157'}",,,,123078654,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.509786', 'street': {'id': 1678937, 'name': 'On or near Police Station'}, 'longitude': '-0.124658'}",,,,123061231,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.496949', 'street': {'id': 1677316, 'name': 'On or near Artillery Row'}, 'longitude': '-0.135630'}",,,,123061321,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.520963', 'street': {'id': 1677791, 'name': 'On or near Chenies Street'}, 'longitude': '-0.132530'}",,,,123061364,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.507725', 'street': {'id': 1678750, 'name': 'On or near Corner House Street'}, 'longitude': '-0.125708'}",,,,123061639,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.514247', 'street': {'id': 1676736, 'name': 'On or near Great Marlborough Street'}, 'longitude': '-0.139406'}",,,,123061813,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.511018', 'street': {'id': 1677271, 'name': 'On or near Sherwood Street'}, 'longitude': '-0.135963'}",,,,123059407,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.510952', 'street': {'id': 1677471, 'name': 'On or near Great Windmill Street'}, 'longitude': '-0.134064'}",,,,123062035,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.496949', 'street': {'id': 1677316, 'name': 'On or near Artillery Row'}, 'longitude': '-0.135630'}",,,,123062336,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.511534', 'street': {'id': 1678076, 'name': 'On or near Lisle Street'}, 'longitude': '-0.130495'}",,,,123078606,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.511574', 'street': {'id': 1678643, 'name': 'On or near Garrick Street'}, 'longitude': '-0.126271'}",,,,123062342,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.498053', 'street': {'id': 1678128, 'name': 'On or near Great Smith Street'}, 'longitude': '-0.129879'}",,,,123062383,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.517596', 'street': {'id': 1677320, 'name': 'On or near Newman Street'}, 'longitude': '-0.135680'}",,,,123068606,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.517596', 'street': {'id': 1677320, 'name': 'On or near Newman Street'}, 'longitude': '-0.135680'}",,,,123068616,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.511137', 'street': {'id': 1678783, 'name': 'On or near New Row'}, 'longitude': '-0.125914'}",,,,123072779,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.492976', 'street': {'id': 1677806, 'name': 'On or near Vincent Street'}, 'longitude': '-0.131211'}",,,,123072784,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.501162', 'street': {'id': 1680084, 'name': 'On or near Addington Street'}, 'longitude': '-0.116252'}",,,,123059147,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.520467', 'street': {'id': 1679377, 'name': 'On or near Old Gloucester Street'}, 'longitude': '-0.121711'}",,,,123059144,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.513064', 'street': {'id': 1678198, 'name': 'On or near Shaftesbury Avenue'}, 'longitude': '-0.129438'}",,,,123059132,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.519375', 'street': {'id': 1677066, 'name': 'On or near Goodge Place'}, 'longitude': '-0.136689'}",,,,123078506,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.518456', 'street': {'id': 1677599, 'name': 'On or near Percy Street'}, 'longitude': '-0.133209'}",,,,123098085,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.520963', 'street': {'id': 1677791, 'name': 'On or near Chenies Street'}, 'longitude': '-0.132530'}",,,,123059096,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.517596', 'street': {'id': 1677320, 'name': 'On or near Newman Street'}, 'longitude': '-0.135680'}",,,,123059088,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.500978', 'street': {'id': 1678704, 'name': 'On or near Bridge Street'}, 'longitude': '-0.125524'}",,,,123058976,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.517563', 'street': {'id': 1677662, 'name': 'On or near Stephen Street'}, 'longitude': '-0.133001'}",,,,123052886,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.495936', 'street': {'id': 1676456, 'name': 'On or near Carlisle Place'}, 'longitude': '-0.141491'}",,,,123076377,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.511790', 'street': {'id': 1677744, 'name': 'On or near A401'}, 'longitude': '-0.132459'}",,,,123058912,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.514286', 'street': {'id': 1677663, 'name': 'On or near Chapone Place'}, 'longitude': '-0.132818'}",,,,123078418,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.512300', 'street': {'id': 1678389, 'name': 'On or near Theatre/concert Hall'}, 'longitude': '-0.128388'}",,,,123058796,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.507725', 'street': {'id': 1678750, 'name': 'On or near Corner House Street'}, 'longitude': '-0.125708'}",,,,123078115,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.512059', 'street': {'id': 1679743, 'name': 'On or near A301'}, 'longitude': '-0.118929'}",,,,123077886,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.499692', 'street': {'id': 1680405, 'name': 'On or near Westminster Bridge Road'}, 'longitude': '-0.114266'}",,,,123077884,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.510942', 'street': {'id': 1677925, 'name': 'On or near Leicester Street'}, 'longitude': '-0.131196'}",,,,123058672,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.492976', 'street': {'id': 1677806, 'name': 'On or near Vincent Street'}, 'longitude': '-0.131211'}",,,,123077629,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.492976', 'street': {'id': 1677806, 'name': 'On or near Vincent Street'}, 'longitude': '-0.131211'}",,,,123058630,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.511359', 'street': {'id': 1675825, 'name': 'On or near Grosvenor Hill'}, 'longitude': '-0.146095'}",,,,123072836,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.506632', 'street': {'id': 1678507, 'name': 'On or near Theatre/concert Hall'}, 'longitude': '-0.127640'}",,,,123077347,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.517742', 'street': {'id': 1678770, 'name': 'On or near Little Russell Street'}, 'longitude': '-0.125614'}",,,,123077253,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.506138', 'street': {'id': 1678957, 'name': 'On or near Whitehall Place'}, 'longitude': '-0.124836'}",,,,123077020,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.515004', 'street': {'id': 1678816, 'name': 'On or near B401'}, 'longitude': '-0.125352'}",,,,123058466,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.510450', 'street': {'id': 1678780, 'name': 'On or near Bedfordbury'}, 'longitude': '-0.125726'}",,,,123076285,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.515598', 'street': {'id': 1678536, 'name': 'On or near St Giles High Street'}, 'longitude': '-0.127633'}",,,,123058438,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.495936', 'street': {'id': 1676456, 'name': 'On or near Carlisle Place'}, 'longitude': '-0.141491'}",,,,123072840,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.511856', 'street': {'id': 1678534, 'name': 'On or near Great Newport Street'}, 'longitude': '-0.127570'}",,,,123062711,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.513575', 'street': {'id': 1676335, 'name': 'On or near Pollen Street'}, 'longitude': '-0.142373'}",,,,123062819,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.508202', 'street': {'id': 1677075, 'name': 'On or near Ormond Yard'}, 'longitude': '-0.136410'}",,,,123091402,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.508087', 'street': {'id': 1678961, 'name': 'On or near Nightclub'}, 'longitude': '-0.124122'}",,,,123062900,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.496949', 'street': {'id': 1677316, 'name': 'On or near Artillery Row'}, 'longitude': '-0.135630'}",,,,123065229,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.514064', 'street': {'id': 1679774, 'name': 'On or near Kean Street'}, 'longitude': '-0.118890'}",,,,123063058,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.511623', 'street': {'id': 1678738, 'name': 'On or near Rose Street'}, 'longitude': '-0.125951'}",,,,123063107,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.516351', 'street': {'id': 1679201, 'name': 'On or near Stukeley Street'}, 'longitude': '-0.122976'}",,,,123076153,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.497540', 'street': {'id': 1677294, 'name': 'On or near Victoria Street'}, 'longitude': '-0.135490'}",,,,123063707,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.515984', 'street': {'id': 1679703, 'name': 'On or near Conference/exhibition Centre'}, 'longitude': '-0.118595'}",,,,123063316,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.496440', 'street': {'id': 1677223, 'name': 'On or near Spencer Place'}, 'longitude': '-0.135867'}",,,,123063771,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.513205', 'street': {'id': 1678985, 'name': 'On or near Long Acre'}, 'longitude': '-0.124229'}",,,,123068660,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.499488', 'street': {'id': 1679222, 'name': 'On or near Hospital'}, 'longitude': '-0.118410'}",,,,123068751,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.509491', 'street': {'id': 1678539, 'name': 'On or near William Iv Street'}, 'longitude': '-0.125924'}",,,,123068795,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.510433', 'street': {'id': 1676487, 'name': 'On or near Parking Area'}, 'longitude': '-0.140455'}",,,,123068987,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.513064', 'street': {'id': 1678198, 'name': 'On or near Shaftesbury Avenue'}, 'longitude': '-0.129438'}",,,,123069013,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.509491', 'street': {'id': 1678539, 'name': 'On or near William Iv Street'}, 'longitude': '-0.125924'}",,,,123063809,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.514211', 'street': {'id': 1678632, 'name': 'On or near Monmouth Street'}, 'longitude': '-0.126984'}",,,,123069244,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.515088', 'street': {'id': 1676649, 'name': 'On or near Hills Place'}, 'longitude': '-0.140222'}",,,,123069425,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.495415', 'street': {'id': 1678026, 'name': 'On or near Monck Street'}, 'longitude': '-0.130794'}",,,,123063824,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.497497', 'street': {'id': 1677447, 'name': 'On or near Strutton Ground'}, 'longitude': '-0.133922'}",,,,123069701,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.513601', 'street': {'id': 1677939, 'name': 'On or near Frith Street'}, 'longitude': '-0.131534'}",,,,123069937,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.496238', 'street': {'id': 1678531, 'name': 'On or near Smith Square'}, 'longitude': '-0.127130'}",,,,123070060,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.512059', 'street': {'id': 1679743, 'name': 'On or near A301'}, 'longitude': '-0.118929'}",,,,123070070,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.495415', 'street': {'id': 1678026, 'name': 'On or near Monck Street'}, 'longitude': '-0.130794'}",,,,123070116,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.502888', 'street': {'id': 1679979, 'name': 'On or near Chicheley Street'}, 'longitude': '-0.117319'}",,,,123070301,,2024-05
anti-social-behaviour,Force,"{'latitude': '51.495035', 'street': {'id': 1678842, 'name': 'On or near Ferry Terminal'}, 'longitude': '-0.121114'}",,,,123070903,,2024-05
